;period;to_agent;from_agent;settlement_type;amount;description
0;0; Firmf0; Bankb0;deposits;0.55;interest deposits
1;0; Firmf1; Bankb0;deposits;0.55;interest deposits
2;0;Householdhh0; Bankb1;deposits;0.55;interest deposits
3;0;Householdhh1; Bankb1;deposits;0.55;interest deposits
4;1; Firmf0; Bankb0;deposits;0.605;interest deposits
5;1; Firmf1; Bankb0;deposits;0.605;interest deposits
6;1;Householdhh0; Bankb1;deposits;0.605;interest deposits
7;1;Householdhh1; Bankb1;deposits;0.605;interest deposits
8;2; Firmf0; Bankb0;deposits;0.6655;interest deposits
9;2; Firmf1; Bankb0;deposits;0.6655;interest deposits
10;2;Householdhh0; Bankb1;deposits;0.6655;interest deposits
11;2;Householdhh1; Bankb1;deposits;0.6655;interest deposits
12;3; Firmf0; Bankb0;deposits;0.73205;interest deposits
13;3; Firmf1; Bankb0;deposits;0.73205;interest deposits
14;3;Householdhh0; Bankb1;deposits;0.73205;interest deposits
15;3;Householdhh1; Bankb1;deposits;0.73205;interest deposits
16;4; Firmf0; Bankb0;deposits;0.8052549999999998;interest deposits
17;4; Firmf1; Bankb0;deposits;0.8052549999999998;interest deposits
18;4;Householdhh0; Bankb1;deposits;0.8052549999999998;interest deposits
19;4;Householdhh1; Bankb1;deposits;0.8052549999999998;interest deposits
20;5; Firmf0; Bankb0;deposits;0.8857805;interest deposits
21;5; Firmf1; Bankb0;deposits;0.8857805;interest deposits
22;5;Householdhh0; Bankb1;deposits;0.8857805;interest deposits
23;5;Householdhh1; Bankb1;deposits;0.8857805;interest deposits
24;6; Firmf0; Bankb0;deposits;0.9743585499999998;interest deposits
25;6; Firmf1; Bankb0;deposits;0.9743585499999998;interest deposits
26;6;Householdhh0; Bankb1;deposits;0.9743585499999998;interest deposits
27;6;Householdhh1; Bankb1;deposits;0.9743585499999998;interest deposits
28;7; Firmf0; Bankb0;deposits;1.071794405;interest deposits
29;7; Firmf1; Bankb0;deposits;1.071794405;interest deposits
30;7;Householdhh0; Bankb1;deposits;1.071794405;interest deposits
31;7;Householdhh1; Bankb1;deposits;1.071794405;interest deposits
32;8; Firmf0; Bankb0;deposits;1.1789738454999998;interest deposits
33;8; Firmf1; Bankb0;deposits;1.1789738454999998;interest deposits
34;8;Householdhh0; Bankb1;deposits;1.1789738454999998;interest deposits
35;8;Householdhh1; Bankb1;deposits;1.1789738454999998;interest deposits
36;9; Firmf0; Bankb0;deposits;1.2968712300499998;interest deposits
37;9; Firmf1; Bankb0;deposits;1.2968712300499998;interest deposits
38;9;Householdhh0; Bankb1;deposits;1.2968712300499998;interest deposits
39;9;Householdhh1; Bankb1;deposits;1.2968712300499998;interest deposits
40;10; Firmf0; Bankb0;deposits;1.426558353055;interest deposits
41;10; Firmf1; Bankb0;deposits;1.426558353055;interest deposits
42;10;Householdhh0; Bankb1;deposits;1.426558353055;interest deposits
43;10;Householdhh1; Bankb1;deposits;1.426558353055;interest deposits
44;11; Firmf0; Bankb0;deposits;1.5692141883605;interest deposits
45;11; Firmf1; Bankb0;deposits;1.5692141883605;interest deposits
46;11;Householdhh0; Bankb1;deposits;1.5692141883605;interest deposits
47;11;Householdhh1; Bankb1;deposits;1.5692141883605;interest deposits
48;12; Firmf0; Bankb0;deposits;1.72613560719655;interest deposits
49;12; Firmf1; Bankb0;deposits;1.72613560719655;interest deposits
50;12;Householdhh0; Bankb1;deposits;1.72613560719655;interest deposits
51;12;Householdhh1; Bankb1;deposits;1.72613560719655;interest deposits
52;13; Firmf0; Bankb0;deposits;1.898749167916205;interest deposits
53;13; Firmf1; Bankb0;deposits;1.898749167916205;interest deposits
54;13;Householdhh0; Bankb1;deposits;1.898749167916205;interest deposits
55;13;Householdhh1; Bankb1;deposits;1.898749167916205;interest deposits
56;14; Firmf0; Bankb0;deposits;2.0886240847078255;interest deposits
57;14; Firmf1; Bankb0;deposits;2.0886240847078255;interest deposits
58;14;Householdhh0; Bankb1;deposits;2.0886240847078255;interest deposits
59;14;Householdhh1; Bankb1;deposits;2.0886240847078255;interest deposits
60;15; Firmf0; Bankb0;deposits;2.297486493178608;interest deposits
61;15; Firmf1; Bankb0;deposits;2.297486493178608;interest deposits
62;15;Householdhh0; Bankb1;deposits;2.297486493178608;interest deposits
63;15;Householdhh1; Bankb1;deposits;2.297486493178608;interest deposits
64;16; Firmf0; Bankb0;deposits;2.5272351424964685;interest deposits
65;16; Firmf1; Bankb0;deposits;2.5272351424964685;interest deposits
66;16;Householdhh0; Bankb1;deposits;2.5272351424964685;interest deposits
67;16;Householdhh1; Bankb1;deposits;2.5272351424964685;interest deposits
68;17; Firmf0; Bankb0;deposits;2.7799586567461154;interest deposits
69;17; Firmf1; Bankb0;deposits;2.7799586567461154;interest deposits
70;17;Householdhh0; Bankb1;deposits;2.7799586567461154;interest deposits
71;17;Householdhh1; Bankb1;deposits;2.7799586567461154;interest deposits
72;18; Firmf0; Bankb0;deposits;3.0579545224207267;interest deposits
73;18; Firmf1; Bankb0;deposits;3.0579545224207267;interest deposits
74;18;Householdhh0; Bankb1;deposits;3.0579545224207267;interest deposits
75;18;Householdhh1; Bankb1;deposits;3.0579545224207267;interest deposits
76;19; Firmf0; Bankb0;deposits;3.3637499746627997;interest deposits
77;19; Firmf1; Bankb0;deposits;3.3637499746627997;interest deposits
78;19;Householdhh0; Bankb1;deposits;3.3637499746627997;interest deposits
79;19;Householdhh1; Bankb1;deposits;3.3637499746627997;interest deposits
80;20; Firmf0; Bankb0;deposits;3.70012497212908;interest deposits
81;20; Firmf1; Bankb0;deposits;3.70012497212908;interest deposits
82;20;Householdhh0; Bankb1;deposits;3.70012497212908;interest deposits
83;20;Householdhh1; Bankb1;deposits;3.70012497212908;interest deposits
84;21; Firmf0; Bankb0;deposits;4.070137469341988;interest deposits
85;21; Firmf1; Bankb0;deposits;4.070137469341988;interest deposits
86;21;Householdhh0; Bankb1;deposits;4.070137469341988;interest deposits
87;21;Householdhh1; Bankb1;deposits;4.070137469341988;interest deposits
88;22; Firmf0; Bankb0;deposits;4.477151216276186;interest deposits
89;22; Firmf1; Bankb0;deposits;4.477151216276186;interest deposits
90;22;Householdhh0; Bankb1;deposits;4.477151216276186;interest deposits
91;22;Householdhh1; Bankb1;deposits;4.477151216276186;interest deposits
92;23; Firmf0; Bankb0;deposits;4.924866337903805;interest deposits
93;23; Firmf1; Bankb0;deposits;4.924866337903805;interest deposits
94;23;Householdhh0; Bankb1;deposits;4.924866337903805;interest deposits
95;23;Householdhh1; Bankb1;deposits;4.924866337903805;interest deposits
96;24; Firmf0; Bankb0;deposits;5.417352971694186;interest deposits
97;24; Firmf1; Bankb0;deposits;5.417352971694186;interest deposits
98;24;Householdhh0; Bankb1;deposits;5.417352971694186;interest deposits
99;24;Householdhh1; Bankb1;deposits;5.417352971694186;interest deposits
100;25; Firmf0; Bankb0;deposits;5.959088268863605;interest deposits
101;25; Firmf1; Bankb0;deposits;5.959088268863605;interest deposits
102;25;Householdhh0; Bankb1;deposits;5.959088268863605;interest deposits
103;25;Householdhh1; Bankb1;deposits;5.959088268863605;interest deposits
104;26; Firmf0; Bankb0;deposits;6.5549970957499655;interest deposits
105;26; Firmf1; Bankb0;deposits;6.5549970957499655;interest deposits
106;26;Householdhh0; Bankb1;deposits;6.5549970957499655;interest deposits
107;26;Householdhh1; Bankb1;deposits;6.5549970957499655;interest deposits
108;27; Firmf0; Bankb0;deposits;7.210496805324962;interest deposits
109;27; Firmf1; Bankb0;deposits;7.210496805324962;interest deposits
110;27;Householdhh0; Bankb1;deposits;7.210496805324962;interest deposits
111;27;Householdhh1; Bankb1;deposits;7.210496805324962;interest deposits
112;28; Firmf0; Bankb0;deposits;7.931546485857459;interest deposits
113;28; Firmf1; Bankb0;deposits;7.931546485857459;interest deposits
114;28;Householdhh0; Bankb1;deposits;7.931546485857459;interest deposits
115;28;Householdhh1; Bankb1;deposits;7.931546485857459;interest deposits
116;29; Firmf0; Bankb0;deposits;8.724701134443205;interest deposits
117;29; Firmf1; Bankb0;deposits;8.724701134443205;interest deposits
118;29;Householdhh0; Bankb1;deposits;8.724701134443205;interest deposits
119;29;Householdhh1; Bankb1;deposits;8.724701134443205;interest deposits
120;30; Firmf0; Bankb0;deposits;9.597171247887525;interest deposits
121;30; Firmf1; Bankb0;deposits;9.597171247887525;interest deposits
122;30;Householdhh0; Bankb1;deposits;9.597171247887525;interest deposits
123;30;Householdhh1; Bankb1;deposits;9.597171247887525;interest deposits
124;31; Firmf0; Bankb0;deposits;10.556888372676278;interest deposits
125;31; Firmf1; Bankb0;deposits;10.556888372676278;interest deposits
126;31;Householdhh0; Bankb1;deposits;10.556888372676278;interest deposits
127;31;Householdhh1; Bankb1;deposits;10.556888372676278;interest deposits
128;32; Firmf0; Bankb0;deposits;11.612577209943908;interest deposits
129;32; Firmf1; Bankb0;deposits;11.612577209943908;interest deposits
130;32;Householdhh0; Bankb1;deposits;11.612577209943908;interest deposits
131;32;Householdhh1; Bankb1;deposits;11.612577209943908;interest deposits
132;33; Firmf0; Bankb0;deposits;12.773834930938298;interest deposits
133;33; Firmf1; Bankb0;deposits;12.773834930938298;interest deposits
134;33;Householdhh0; Bankb1;deposits;12.773834930938298;interest deposits
135;33;Householdhh1; Bankb1;deposits;12.773834930938298;interest deposits
136;34; Firmf0; Bankb0;deposits;14.051218424032127;interest deposits
137;34; Firmf1; Bankb0;deposits;14.051218424032127;interest deposits
138;34;Householdhh0; Bankb1;deposits;14.051218424032127;interest deposits
139;34;Householdhh1; Bankb1;deposits;14.051218424032127;interest deposits
140;35; Firmf0; Bankb0;deposits;15.45634026643534;interest deposits
141;35; Firmf1; Bankb0;deposits;15.45634026643534;interest deposits
142;35;Householdhh0; Bankb1;deposits;15.45634026643534;interest deposits
143;35;Householdhh1; Bankb1;deposits;15.45634026643534;interest deposits
144;36; Firmf0; Bankb0;deposits;17.001974293078874;interest deposits
145;36; Firmf1; Bankb0;deposits;17.001974293078874;interest deposits
146;36;Householdhh0; Bankb1;deposits;17.001974293078874;interest deposits
147;36;Householdhh1; Bankb1;deposits;17.001974293078874;interest deposits
148;37; Firmf0; Bankb0;deposits;18.702171722386762;interest deposits
149;37; Firmf1; Bankb0;deposits;18.702171722386762;interest deposits
150;37;Householdhh0; Bankb1;deposits;18.702171722386762;interest deposits
151;37;Householdhh1; Bankb1;deposits;18.702171722386762;interest deposits
152;38; Firmf0; Bankb0;deposits;20.572388894625437;interest deposits
153;38; Firmf1; Bankb0;deposits;20.572388894625437;interest deposits
154;38;Householdhh0; Bankb1;deposits;20.572388894625437;interest deposits
